Data,model_cnn_simple,model_lstmbi_dense,model_mlp_3L,model_mlp_4L,model_mlp_simple,model_rnn_gru_3L,model_rnn_simple,Train_Size,Test_Size,Length,Num_Classes
Adiac,0.2404092103242874,0.0179028138518333,0.138107419013977,0.1355498731136322,0.1227621510624885,0.015345268882811,0.0230179019272327,390,391,176,37
ArrowHead,0.7142857313156128,0.7142857313156128,0.5714285969734192,0.5828571319580078,0.6342856884002686,0.3085714280605316,0.3942857086658478,36,175,251,3
Beef,0.4666666686534881,0.3333333432674408,0.3666666746139526,0.3333333432674408,0.3333333432674408,0.3000000119209289,0.233333334326744,30,30,470,5
BeetleFly,0.5,0.5,0.800000011920929,0.5,0.449999988079071,0.5,0.6499999761581421,20,20,512,2
BirdChicken,0.6000000238418579,0.6000000238418579,0.5,0.6000000238418579,0.6499999761581421,0.5,0.449999988079071,20,20,512,2
CBF,0.948888897895813,0.9422222375869752,0.8677777647972107,0.9233333468437196,0.3222222328186035,0.3311111032962799,0.3499999940395355,30,900,128,3
Car,0.6666666865348816,0.6833333373069763,0.6000000238418579,0.6833333373069763,0.5166666507720947,0.3166666626930237,0.233333334326744,60,60,577,4
ChlorineConcentration,0.5325520634651184,0.5325520634651184,0.5325520634651184,0.5325520634651184,0.5325520634651184,0.5354166626930237,0.5325520634651184,467,3840,166,3
CinCECGtorso,0.2478260844945907,0.2485507279634475,0.25,0.2478260844945907,0.2478260844945907,0.2485507279634475,0.2485507279634475,40,1380,1639,4
Coffee,1.0,0.6428571343421936,1.0,0.8571428656578064,0.4642857015132904,0.3928571343421936,0.8928571343421936,28,28,286,2
Computers,0.5720000267028809,0.5759999752044678,0.5,0.5,0.4679999947547912,0.5,0.5600000023841858,250,250,720,2
CricketX,0.528205156326294,0.5333333611488342,0.428205132484436,0.4230769276618957,0.2871794998645782,0.1051282063126564,0.0974358990788459,390,390,300,12
CricketY,0.5230769515037537,0.2512820661067962,0.3615384697914123,0.3179487287998199,0.1564102619886398,0.0948717966675758,0.0743589773774147,390,390,300,12
CricketZ,0.4564102590084076,0.5538461804389954,0.3666666746139526,0.3641025722026825,0.2512820661067962,0.0743589773774147,0.0948717966675758,390,390,300,12
DiatomSizeReduction,0.3039215803146362,0.8562091588973999,0.9346405267715454,0.5947712659835815,0.0980392172932624,0.2843137383460998,0.3006536066532135,16,306,345,4
DistalPhalanxOutlineAgeGroup,0.7266187071800232,0.6834532618522644,0.7482014298439026,0.7410072088241577,0.6187050342559814,0.5467625856399536,0.7266187071800232,400,139,80,3
DistalPhalanxOutlineCorrect,0.760869562625885,0.7246376872062683,0.7536231875419617,0.7137681245803833,0.5978260636329651,0.5833333134651184,0.5144927501678467,600,276,80,2
DistalPhalanxTW,0.6978417038917542,0.6978417038917542,0.6834532618522644,0.6906474828720093,0.5827338099479675,0.280575543642044,0.6762589812278748,400,139,80,6
ECG200,0.7900000214576721,0.7599999904632568,0.8700000047683716,0.75,0.8100000023841858,0.6399999856948853,0.7699999809265137,100,100,96,2
ECG5000,0.9273333549499512,0.9344444274902344,0.9344444274902344,0.925777792930603,0.9164444208145142,0.5837777853012085,0.9122222065925598,500,4500,140,5
ECGFiveDays,0.4970963895320892,0.4970963895320892,0.4970963895320892,0.4970963895320892,0.4970963895320892,0.4970963895320892,0.4970963895320892,23,861,136,2
Earthquakes,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026,322,139,512,2
ElectricDevices,0.6270263195037842,0.6494618058204651,0.5734664797782898,0.5162754654884338,0.4397613704204559,0.2423810213804245,0.2567760348320007,8926,7711,96,7
FaceAll,0.7218934893608093,0.721301794052124,0.7917159795761108,0.6905325651168823,0.4958579838275909,0.0189349111169576,0.2420118302106857,560,1690,131,14
FaceFour,0.7954545617103577,0.8636363744735718,0.8181818127632141,0.5909090638160706,0.3522727191448211,0.25,0.1931818127632141,24,88,350,4
FacesUCR,0.7326829433441162,0.5697560906410217,0.6282926797866821,0.5785365700721741,0.0756097584962844,0.0936585366725921,0.4097560942173004,200,2050,131,14
FiftyWords,0.5780220031738281,0.4043956100940704,0.6395604610443115,0.6065934300422668,0.5472527742385864,0.0417582429945468,0.1252747327089309,450,455,270,50
